"ABKUERZUNG","BEZEICHNUN","BIS","FK_ZAEHLER","RICHTUNG_I","RICHTUNG_O","VON","Easting","Northing","Easting_WGS","Northing_WGS"
"FZS_LETD","Letten / Dynamo",20150331,"U15G3063869","Limmatplatz","Hauptbahnhof",2014-07-10T00:00:00,2682977.903,1248743.84,8.53753565665429,47.3842996193068
"FZS_LETD","Letten / Dynamo",20160329,"U15G3063869","Limmatplatz","Hauptbahnhof",2015-10-01T00:00:00,2682977.903,1248743.84,8.53753565665429,47.3842996193068
"FZS_OHMO","Ohmstrasse Ost",20151001,"U15G3063866","Bhf. Oerlikon","Sternen Oerlikon",2015-03-31T00:00:00,2683559.922,1251681.846,8.54579149750612,47.4106484173324
"FZS_OHMW","Ohmstrasse West",20150925,"U15G3104445","Bhf. Oerlikon","Sternen Oerlikon",2015-03-31T00:00:00,2683572.922,1251686.846,8.54596465913787,47.410691733846
"FZS_WEIN","Weinbergfussweg",,"U15G3063872","Polyterrasse","Hauptbahnhof",2013-07-11T00:00:00,2683523.897,1248170.835,8.5446585745372,47.379077394789
"FZS_CHOR","Chorherrenweg",20160930,"U15G4025180","Limmat","Meierhofplatz",2016-04-01T00:00:00,2680001.933,1250595.859,8.49845976770049,47.4013236366841
"FZS_INGA","In Gassen",20141107,"U15G3063871","Paradeplatz","Rathaus",2013-07-11T00:00:00,2683266.896,1247228.834,8.54108054707129,47.3706381634244
"FZS_LANO","Langstrasse (Unterführung Ost)",,"U15G3104444","Gleisanlagen","Limmat",2015-03-10T00:00:00,2682359.902,1248447.842,8.52929779212873,47.3817151489692
"FZS_LANW","Langstrasse (Unterführung West)",,"U15G3063870","Limmatplatz","Helvetiaplatz",2013-07-11T00:00:00,2682333.903,1248460.842,8.52895592969507,47.3818353122448
"FZS_LIMM","Limmatquai",,"U15G3063873","Rathaus","Seeufer",2013-07-11T00:00:00,2683436.897,1247198.835,8.54332547531629,47.3703468683985
"FZS_MILI","Militärbrücke",,"U15G3063864","Löwenplatz","Langstrasse",2013-07-11T00:00:00,2682688.895,1247734.837,8.53352226930527,47.3752616237451
"FZS_ZEHN","Zehntenhausplatz Unterführung",20150331,"U15G3104442","Louis Conne Weg","In Böden",2013-11-28T00:00:00,2680576.937,1252580.867,8.50643406761614,47.4191053610158
"FZS_ZEHN","Zehntenhausplatz Unterführung",20160331,"U15G3104442","Louis Conne Weg","In Böden",2015-10-01T00:00:00,2680576.937,1252580.867,8.50643406761614,47.4191053610158
"FZS_QUAS","Quaibrücke Süd (Seeseite)",20160215,"U15G3063867","Bellevue","Bürkliplatz",2013-08-23T00:00:00,2683407.481,1246794.676,8.5428607666731,47.3667158362253
"FZS_OHMW","Ohmstrasse West",,"U15G3063867","Sternen Oerlikon","Bhf. Oerlikon",2016-09-02T00:00:00,2683561.042,1251702.988,8.54581028774605,47.4108384106901
"FZS_LETD","Letten / Dynamo",,"U15G3063869","Limmatplatz","Hauptbahnhof",2016-10-01T00:00:00,2682977.903,1248743.84,8.53753565665429,47.3842996193068
"FZS_HARD","Hardeggsteg",,"U15G4025180","Kloster-Fahr-Weg","Hardturmstrasse",2016-10-01T00:00:00,2680438.925,1249929.857,8.50412837210709,47.3952808149588
"FZS_ZEHN","Zehntenhausplatz Unterführung",,"U15G3104442","Louis Conne Weg","In Böden",2016-10-01T00:00:00,2680576.937,1252580.867,8.50643406761614,47.4191053610158
"FZS_MYTH","Mythenquai Unterführung",,"U15G3104443","Seeufer","Bhf. Wollishofen",2016-10-01T00:00:00,2682812.885,1245489.836,8.53474862653656,47.3550558530493
"FZS_QUAS","Quaibrücke Süd (Seeseite)",20170313,"YCH16039437","Bürkliplatz","Bellevue",2016-10-18T00:00:00,2683407.481,1246794.676,8.5428607666731,47.3667158362253
"FZS_OHMW","Ohmstrasse West",20160420,"U15G3063865","Sternen Oerlikon","Bhf. Oerlikon",2016-04-02T00:00:00,2683559.922,1251681.846,8.54579149750612,47.4106484173324
"FZS_OHMO","Ohmstrasse Ost",,"U15G3104447","Bhf. Oerlikon","Sternen Oerlikon",2016-04-01T00:00:00,2683572.922,1251686.846,8.54596465913787,47.410691733846
"FZS_KATZ","Katzenbach",20160930,"U15G3104442","Affoltern","Seebach",2016-04-01T00:00:00,2681401.937,1253279.861,8.51749298309204,47.4252901219772
"FZS_CASS","Cassiopeiasteg",20160930,"U15G3104443","Bellevue","Stadtgrenze",2016-04-05T00:00:00,2683020.15915,1244136.2489,8.53724096568538,47.3428563716679
"VZS_LANS","Langstrasse (Unterführung Süd)",,"Y2H16039396","Helvetiaplatz","Limmatplatz",2016-04-27T00:00:00,2682355.55,1248444.74,8.52923959615962,47.3816877955525
"FZS_KLOE","Kloster-Fahr-Weg (Europabrücke)",,"U15G6121229","Werdinsel","Innenstadt",2017-01-13T00:00:00,2680048.93,1250303.859,8.49903002173444,47.3986918641162
"FZS_ARBO","Arboretum",,"U15G3063865","Stadtgrenze","Innenstadt",2016-07-21T00:00:00,2682972.89,1246328.835,8.53702163043853,47.362581200194
"FZS_QUAN","Quaibrücke Nord (Limmatseite)",20170313,"YCH16121210","Bellevue","Bürkliplatz",2017-01-13T00:00:00,2683403.24765,1246821.1344,8.54280965712312,47.3669543225972
"VZS_HARW","Hardbrücke West (Seite Altstetten)",,"Y2H16069942","Escher-Wyss-Platz","Hardplatz",2016-07-06T00:00:00,2681319.38825,1248665.2092,8.51555975695033,47.3837992636225
"VZS_HARO","Hardbrücke Ost (Seite HB)",,"Y2H16069943","Escher-Wyss-Platz","Hardplatz",2016-07-06T00:00:00,2681338.9675,1248646.68835,8.51581565103513,47.3836302815768
